index,0
Michael Green,"Michael Green is an American writer and producer. In addition to writing for television, Green has written or co-written several feature film screenplays, including Logan, Alien: Covenant, Blade Runner 2049 and Murder on the Orient Express, all in 2017."
Benjamin Wolf,"Benjamin Wolf Löw (1775 – 6 March 1851) was a Polish–Hungarian rabbi. He was also known as Binyamin ben Elʻazar, Benjamin Adolf Löw, and Hebrew: Binyamin Ṿolf Leṿ, a.b.d."
Hans Kristensen,"Hans Kristensen (born 25 September 1941) is a Danish film director, screenwriter, and actor. He has directed eleven feature films since 1973."
Jim Risch,"James Elroy Risch ( RISH; born May 3, 1943) is an American lawyer and politician who has served as the junior United States senator from Idaho since 2009. A member of the Republican Party, he served as lieutenant governor of Idaho from 2003 to 2006 and from 2007 to 2009, and as governor of Idaho from 2006 to 2007."
 Victor Cha,"Victor D. Cha (born 1960) is an American academic, author and former national foreign policy advisor.
He is a former Director for Asian Affairs in the White House's National Security Council, with responsibility for Japan, North and South Korea, Australia, and New Zealand."
Vladimir Shamanov,"Vladimir Anatolyevich Shamanov (Russian: Владимир Анатольевич Шаманов, born 15 February 1957) is a retired Colonel General of the Russian Armed Forces, who was Commander-in-Chief of the Russian Airborne Troops (VDV) from May 2009 to October 2016 and a former Russian politician. After his retirement in October 2016, Shamanov became head of the State Duma Defense Committee."
Dalia Grybauskaite,"Dalia Grybauskaitė (Lithuanian pronunciation: ​[dɐˈlʲɛ ɡʲrʲiːbɐʊsˈkɐ̂ˑɪtʲeː]; born 1 March 1956) is a Lithuanian politician who served as the eighth President of Lithuania from 2009 until 2019. She is the first woman to hold the position and became in 2014 the first President of Lithuania to be reelected for a second consecutive term.Grybauskaitė has served as Minister of Finance, as well as European Commissioner for Financial Programming and the Budget from 2004 to 2009."
Dan Coats,"Daniel Ray Coats (born May 16, 1943) is an American politician, attorney, and former diplomat. From 2017 to 2019, he served as the Director of National Intelligence in the Trump administration."
Mike Pompeo OLDER,"Michael Richard Pompeo (; born December 30, 1963) is an American politician, diplomat, and businessman who served under President Donald Trump as director of the Central Intelligence Agency (CIA) from 2017 to 2018 and as the 70th United States secretary of state from 2018 to 2021.
Pompeo is a former United States Army officer."
Douglas Bennet,"Douglas Joseph Bennet Jr. (June 23, 1938 – June 10, 2018) was an American political official and college president."
Heather Nauert,"Heather Ann Nauert (born January 27, 1970) is an American broadcast journalist and former government official who served as Spokesperson for the United States Department of State in the Donald Trump administration from 2017 to 2019. She is a senior fellow at the Hudson Institute, a conservative think tank.Prior to her positions at the Department of State, she worked as an ABC News correspondent and news presenter on the Fox News program Fox & Friends."
Kang Kyung-wha,"Kang Kyung-wha (Korean: 강경화; Hanja: 康京和; born April 7, 1955) is a South Korean diplomat and politician who served as the first  Foreign Minister of South Korea under President Moon Jae-in from 2017 to 2021 as well as the first woman nominated for and appointed to the position. She is also the first Korean woman to hold a high-level position in the United Nations."
Vladimir Putin,"Vladimir Vladimirovich Putin (Russian: Владимир Владимирович Путин; born 7 October 1952) is a Russian politician and former intelligence officer who is the president of Russia, a position he has filled since 2012, and previously from 2000 until 2008. He was also the prime minister from 1999 to 2000, and again from 2008 to 2012."
Douglas Barrie,"Douglas Robert Barrie (born October 2, 1946) is a Canadian former ice hockey defenceman.  He played in the National Hockey League for the Pittsburgh Penguins, Buffalo Sabres, and Los Angeles Kings."
Sarah Huckabee Sanders,"Sarah Elizabeth Sanders (née Huckabee; born August 13, 1982), also known as Sarah Huckabee Sanders, is an American political analyst and politician. She was the 31st White House press secretary, serving under President Donald Trump from 2017 to 2019."
Robert Work,"Robert Orton Work (born January 17, 1953) is an American national security professional who served as the 32nd United States Deputy Secretary of Defense for both the Obama and Trump administrations from 2014 to 2017. Prior to that, Work was the United States Under Secretary of the Navy from 2009 to 2013, and before that served as a colonel in the United States Marine Corps; Work retired in 2001 and worked as a civilian at the Center for Strategic and Budgetary Assessments (CSBA) and the George Washington University in various positions relating to military and strategic study."
Sergei Lavrov,"Sergey Viktorovich Lavrov (Russian: Сергей Викторович Лавров, pronounced [sʲɪrˈɡʲej ˈvʲiktərəvʲɪtɕ lɐˈvrof]; born 21 March 1950) is a Russian diplomat and politician who has served as the Foreign Minister of Russia since 2004. As a member of the United Russia party, he served as the Permanent Representative of Russia to the United Nations from 1994 to 2004."
Chung Eui-yong,"Chung Eui-yong (Korean: 정의용; Hanja: 鄭義溶; born 14 April 1946) is a South Korean diplomat and a politician currently serving as Minister of Foreign Affairs under President Moon Jae-in from February 2021 after serving as his first Director of National Security from 2017 to 2020.


== Career ==

A 1968 graduate of Seoul National University, Chung joined the Ministry of Foreign Affairs in 1971."
Samuel Greaves,"Samuel A. Greaves is a retired United States Air Force Lieutenant General who is now a vice president and the chief architect for space and launch at Boeing. In the U.S. Air Force, he last served as the Commander of the Missile Defense Agency."
Dan Gouré,"Dan Gouré is the Vice President of the Lexington Institute, a thinktank based in Arlington, Virginia, and an analyst on national security and military issues for NBC. He has worked as an Adjunct Professor in the National Defense University's Homeland Security program under the SNSEE since 2003. He is a member of the Department of Homeland Security's advisory board.Gouré received a degree in Government and History from Pomona College, an MA in International Relations and Russian Studies from Johns Hopkins University, and a PhD in International Relations and Russian Studies from Johns Hopkins.He served as the director of the Office of Strategic Competitiveness in the Office of the Secretary of Defense for two years and then served as the Deputy Director of the International Security Program at the Center for Strategic and International Studies."
Yun Sun,"Yun Posun (Korean: 윤보선; Hanja: 尹潽善; Korean pronunciation: [junbosʌn] or [jun] [posʌn]; August 26, 1897 – July 18, 1990) was a South Korean politician and activist who served as the second president of South Korea from 1960 to 1962.
Having entered politics after World War II, Yun served as Secretary to Korea's Chief of Staff in 1947; and was Mayor of Seoul in 1948."
Feng Zhang,"Feng Zhang (Chinese: 张锋; pinyin: Zhāng Fēng; born October 22, 1981) is a Chinese-American biochemist. Zhang currently holds the James and Patricia Poitras Professorship in Neuroscience at the McGovern Institute for Brain Research and in the departments of Brain and Cognitive Sciences and Biological Engineering at the Massachusetts Institute of Technology."
Sue Mi Terry,"Sue Mi Terry (born c. 1972) is a former CIA officer, researcher, and Senior Fellow at the Center for Strategic and International Studies. A former intelligence analyst specializing in East Asia, Terry is regularly quoted in print and web media as an expert on international politics involving North Korea, South Korea and Japan."
Rex Tillerson,"Rex Wayne Tillerson (born March 23, 1952) is an American engineer and energy executive who served as the 69th U.S. secretary of state from February 1, 2017, to March 31, 2018, under President Donald Trump. Prior to joining the Trump administration, Tillerson was chairman and chief executive officer (CEO) of ExxonMobil, holding that position from 2006 until 2017."
Richard Spencer,"Richard Bertrand Spencer (born May 1978) is an American neo-Nazi, antisemitic conspiracy theorist, and white supremacist. A former editor, he is a public speaker and activist on behalf of the alt-right movement."
Case Cunningham,"Case Andrews Cunningham is a United States Air Force major general who is currently serving as commander of the United States Air Force Warfare Center. He previously served as the director of plans, programs, and requirements of the Air Combat Command."
Ed Royce,"Edward Randall Royce (born October 12, 1951) is an American politician who served as a member of the United States House of Representatives from California from 1993 to 2019. A member of the Republican Party, Royce served as Chairman of the United States House Committee on Foreign Affairs from 2013 to 2019."
Edward Markey,"Edward John Markey (born July 11, 1946) is an American lawyer, politician, and former Army reservist who has served as the junior United States senator from Massachusetts since 2013. A member of the Democratic Party, he was the U.S. representative for Massachusetts's 7th congressional district from 1976 to 2013."
Joseph Yun,"Joseph Yuosang Yun (born 1954) is a former top American diplomat and one of the nation's leading experts on North Korea.  From October 2016 to March 2018, he served as the United States Special Representative for North Korea Policy and Deputy Assistant Secretary for Korea and Japan.Previous senior diplomatic assignments include United States Ambassador to Malaysia, Principal Deputy Assistant Secretary in the State Department Bureau of East Asian and Pacific Affairs, Deputy Assistant Secretary."
James M. Acton,James M. Acton is a British academic and scientist. He is co-director of the Nuclear Policy Program at the Carnegie Endowment for International Peace.
Sergey Shoygu,Sergei Kuzhugetovich Shoigu (Russian: Серге́й Кужуге́тович Шойгу́; born 21 May 1955) is a Russian politician and General of the Army who has served as Minister of Defence of the Russian Federation since 2012. Shoigu has also served as Chairman of the Council of Ministers of Defense of the Commonwealth of Independent States since 2012.
Mohamed Bin Salman,"Mohammed bin Salman Al Saud (Arabic: محمد بن سلمان آل سعود, romanized: Muḥammad bin Salmān Āl Su‘ūd; born 31 August 1985), colloquially known as MBS, is a Saudi Arabian politician who is the crown prince, deputy prime minister, and minister of defense of Saudi Arabia. He also serves as the chairman of the Council of Economic and Development Affairs and chairman of the Council of Political and Security Affairs."
Newspaper Rodong Sinmun,Rodong Sinmun (IPA: [ɾo.doŋ ɕin.mun]; Korean: 로동신문; lit. Workers' Newspaper) is a North Korean newspaper that serves as the official newspaper of the Central Committee of the Workers' Party of Korea.
Hong Min,"Hong Kyung-Min (Korean: 홍경민; born February 9, 1976) is a South Korean pop rock singer known for his versatility. He is one of a few singers in Korea that excels at many different styles of music, from rock to dance to ballad."
Kim Sung-han,"Kim Sung-cheol (Korean: 김성철; born December 31, 1991) is a South Korean actor. He achieved initial success in stage musicals before being cast in his debut television role as Kim Young-cheol (a.k.a."
Jean-Yves Le Drian,Jean-Yves Le Drian (French pronunciation: ​[ʒɑ̃ iv lə dʁijɑ̃]; born 30 June 1947) is a French politician who has served as Minister of Europe and Foreign Affairs since 2017 under President Emmanuel Macron. He previously was Minister of Defence from 2012 to 2017 under President François Hollande.
Michael McFaul,"Michael Anthony McFaul (born October 1, 1963) is an American academic and diplomat who served as the United States Ambassador to Russia from 2012 to 2014. McFaul is currently the Ken Olivier and Angela Nomellini Professor in International Studies in the Department of Political Science at Stanford University, where he is the Director of the Freeman Spogli Institute for International Studies."
Nancy Pelosi,"Nancy Patricia Pelosi (; née D'Alesandro; born March 26, 1940) is an American politician serving as speaker of the United States House of Representatives since 2019, and previously from 2007 to 2011. She has served as a U.S. representative from California since 1987."
Stephen Bannon,"Stephen Kevin Bannon (born November 27, 1953) is an American media executive, political strategist, and former investment banker, who served as the White House's chief strategist in the administration of U.S. President Donald Trump during the first seven months of Trump's term. He is a former executive chairman of Breitbart News, and previously served on the board of the now-defunct data-analytics firm Cambridge Analytica.Bannon was an officer in the United States Navy for seven years in the late 1970s and early 1980s."
John R. Bolton,"John Robert Bolton (born November 20, 1948) is an American attorney, diplomat, Republican consultant, and political commentator. He served as the 25th United States Ambassador to the United Nations from 2005 to 2006, and as the 27th United States National Security Advisor from 2018 to 2019."
Timo Soini,Timo Juhani Soini (born 30 May 1962) is a Finnish politician who is the co-founder and former leader of the Finns Party. He served as Deputy Prime Minister of Finland from 2015 to 2017 and Minister of Foreign Affairs from 2015 to 2019.He was elected as a member of the Espoo city council in 2000 and the Parliament of Finland in 2003.
John R. Bolton OLD,"John Robert Bolton (born November 20, 1948) is an American attorney, diplomat, Republican consultant, and political commentator. He served as the 25th United States Ambassador to the United Nations from 2005 to 2006, and as the 27th United States National Security Advisor from 2018 to 2019."
James Hoare,"James Edward Hoare (born 1943) is a British academic and historian specialising in Korean and Chinese studies, and a career diplomat in the British Foreign Office.


== Academia ==
Dr."
Jimmy Carter,"James Earl Carter Jr. (born October 1, 1924) is an American former politician who served as the 39th president of the United States from 1977 to 1981."
Antonio Guterres,"António Manuel de Oliveira Guterres  (; European Portuguese: [ɐ̃ˈtɔnju ɡuˈtɛʁɨʃ]; born 30 April 1949) is a Portuguese politician and diplomat. Since 2017, he has served as secretary-general of the United Nations, the ninth person to hold this title."
Jeff Flake,"Jeffry Lane Flake (born December 31, 1962) is an American politician and diplomat who is the current U.S Ambassador to Turkey. A member of the Republican Party, Flake served in the United States House of Representatives from 2001 to 2013 and in the United States Senate from 2013 to 2019, representing Arizona."
Jeffrey Lewis,"Jeffrey Lewis (born November 20, 1975) is an American singer-songwriter and comic book artist.


== Early life ==
Lewis was born in New York City and grew up on the Lower East Side."
Pamela Chen,"Pamela Ki Mai Chen (born March 30, 1961) is a United States District Judge of the United States District Court for the Eastern District of New York.


== Biography ==
Chen was born in 1961 in Chicago, Illinois."
Shailesh Kumar,"Shailesh Kumar is an American writer, entrepreneur, and private investor. He is the founder of Value Stock Guide, a financial website that provides information about investing."
Robert Kelly,"Robert Sylvester Kelly (born January 8, 1967) is an American singer, songwriter, record producer, and convicted sex offender. He has been credited with helping to redefine R&B and hip hop, earning nicknames such as ""the King of R&B"", ""the King of Pop-Soul"", and the ""Pied Piper of R&B"".Kelly is known for songs including ""I Believe I Can Fly"", ""Bump N' Grind"", ""Your Body's Callin'"", ""Gotham City"", ""Ignition (Remix)"", ""If I Could Turn Back the Hands of Time"", ""The World's Greatest"", ""I'm a Flirt (Remix)"", and the hip hopera ""Trapped in the Closet""."
Bruce Klingner,Klingner is a surname.
Report 38North,38 North is a website devoted to analysis about North Korea. Its name refers to the 38th parallel north which passes through the Korean peninsula and between 1945 until the start of the Korean War in 1950 divided the peninsula into North and South Korea.
Sigmar Gabriel,"Sigmar Hartmut Gabriel (born 12 September 1959) is a German politician who was the minister for Foreign Affairs from 2017 to 2018 and the vice-chancellor of Germany from 2013 to 2018. He was Leader of the Social Democratic Party of Germany (SPD) from 2009 to 2017, which made him the party's longest-serving leader since Willy Brandt."
Shinzo Abe,"Shinzo Abe (安倍 晋三, Abe Shinzō, IPA: [abe ɕindzoː]; born 21 September 1954) is a Japanese politician who served as Prime Minister of Japan and President of the Liberal Democratic Party (LDP) from 2006 to 2007 and again from 2012 to 2020. He is the longest-serving prime minister in Japanese history."
Xi Jinping,"Xi Jinping (English:  SHEE jin-PING; Chinese: 习近平; pinyin: Xí Jìnpíng; [ɕǐ tɕîn pʰǐŋ]; born 15 June 1953) is a Chinese politician who has been serving as General Secretary of the Chinese Communist Party (CCP) and Chairman of the Central Military Commission (CMC) since 2012, and President of the People's Republic of China (PRC) since 2013. Xi has been the paramount leader of China, the most prominent political leader in the People's Republic of China, since 2012."
Scott Snyder,"Scott Snyder is an American writer. He is known for his 2006 short story collection Voodoo Heart, and his comic book writing, including American Vampire, Detective Comics, Batman, Wytches, Swamp Thing, and Justice League."
Boris Johnson,Alexander Boris de Pfeffel Johnson (; born 19 June 1964) is a British politician serving as Prime Minister of the United Kingdom and Leader of the Conservative Party since 2019. He was Secretary of State for Foreign and Commonwealth Affairs from 2016 to 2018 and Mayor of London from 2008 to 2016.
Chrystia Freeland,"Christina Alexandra Freeland  (born August 2, 1968) is a Canadian politician serving as the tenth and current deputy prime minister of Canada since 2019 and the minister of finance since 2020. A member of the Liberal Party, Freeland represents the Toronto riding of University—Rosedale in the House of Commons."
Mohamad Javad Zarif,"Mohammad Javad Zarif Khansari (Persian: محمدجواد ظریف خوانساری, romanized: Mohammad-Javād Zarīf Khansari; Persian pronunciation: [mohæmːædd͡ʒæˌvɒːde zæˌɾiːf]; born 8 January 1960) is an Iranian career diplomat and academic. He was the foreign minister of Iran from 2013 until 2021 in the government of Hassan Rouhani."
Hassan Rouhani,"Hassan Rouhani (Persian: حسن روحانی, Standard Persian pronunciation: [hæˈsæn-e ɾowhɒːˈniː] (listen); born Hassan Fereydoun (Persian: حسن فریدون); 12 November 1948) is an Iranian politician who served as the seventh president of Iran from 3 August 2013 until 3 August 2021. He is also a sharia lawyer (""Wakil""), academic, former diplomat and Islamic cleric."
Elise Hu,"Elise Hu is an American broadcast journalist who hosts the TED Talks Daily podcast  and serves as host-at-large for NPR. From 2015 to 2018, she was the network's first Seoul, South Korea, bureau chief.


== Life and education ==
Hu was born in St."
Cho Myoung-gyon,"Cho Myoung-gyon (Korean: 조명균; Hanja: 趙明均; born 17 November 1957) is a South Korean politician previously served as President Moon Jae-in's first Minister of Unification.
After passing the state exam in 1979, Cho spent most of his career at the Ministry of Unification."
Adm. Philip Davidson,"Philip Scot Davidson (born August 24, 1960) is a retired four-star admiral in the United States Navy who last served as the 25th commander of United States Indo-Pacific Command from May 30, 2018 to April 30, 2021. He previously served as the commander of United States Fleet Forces Command and United States Naval Forces Northern Command from 2014 to 2018."
Emmanuel Macron,"Emmanuel Jean-Michel Frédéric Macron (French: [emanɥɛl ʒɑ̃ miʃɛl fʁedeʁik makʁɔ̃]; born 21 December 1977) is a French politician who has been serving as the president of France since 14 May 2017.
Born in Amiens, Macron studied philosophy at Paris Nanterre University, later completing a master's degree in public affairs at Sciences Po and graduating from the École nationale d'administration in 2004."
Edwin Lyman,"Edwin Lyman is Senior Global Security Scientist with the Union of Concerned Scientists (UCS). He specialises in nuclear proliferation, nuclear terrorism, and nuclear power safety."
Lisa Gordon-Hagerty,"Lisa E. Gordon-Hagerty is an American scientist and former government official who served as the under secretary of energy for nuclear security and administrator of the National Nuclear Security Administration. Earlier in her career, she had served in various other leadership positions in the Department of Energy and the National Security Council."
Lindsey O. Graham,"Lindsey Olin Graham (born July 9, 1955) is an American lawyer and politician serving as the senior United States senator from South Carolina, a seat he has held since 2003. A member of the Republican Party, Graham served as chair of the Senate Committee on the Judiciary from 2019 to 2021."
Stefan Lofven,"Kjell Stefan Löfven (Swedish pronunciation: [ˈstěːfan lœˈveːn]; officially Löfvén; born 21 July 1957) is a Swedish former politician who served as the Prime Minister of Sweden from October 2014 to November 2021 and leader of the Social Democratic Party from 2012 to 2021.After leaving school and completing military service in the Swedish Air Force, Löfven trained as a welder and began employment as a metalworker. At the same time, he became an active trade unionist."
Malcolm Turnbull,Malcolm Bligh Turnbull  (born 24 October 1954) is a former Australian politician  who served as the 29th prime minister of Australia from 2015 to 2018. He held office as leader of the Liberal Party of Australia.
Van Jackson,"Andrew Jackson (March 15, 1767 – June 8, 1845) was an American lawyer, general, and statesman who served as the seventh president of the United States from 1829 to 1837. Before being elected to the presidency, Jackson gained fame as a general in the United States Army and served in both houses of the U.S. Congress."
China Daily,"China Daily (simplified Chinese: 中国日报; traditional Chinese: 中國日報; pinyin: Zhōngguó Rìbào) is an English-language daily newspaper owned by the Publicity Department of the Chinese Communist Party.


== Overview ==
China Daily has the widest print circulation of any English-language newspaper in China."
State Media North Korea,The mass media in North Korea is amongst the most strictly controlled in the world.  The constitution nominally provides for freedom of speech and the press.
Lee Hsien Loong,"Lee Hsien Loong (Chinese: 李显龙; pinyin: Lǐ Xiǎnlóng; born 10 February 1952) is a Singaporean politician and former brigadier-general who has served as Prime Minister of Singapore and secretary-general of the People's Action Party (PAP) since 2004. Prior to his appointment as prime minister, he served as the deputy prime minister between 1990 and 2004 and was the finance minister between 2001 and 2007."
Benjamin Netanyahu,"Benjamin ""Bibi"" Netanyahu (; Hebrew: בִּנְיָמִין נְתַנְיָהוּ‎ ; born 21 October 1949) is an Israeli politician who served as the ninth prime minister of Israel from 1996 to 1999 and from 2009 to 2021. Netanyahu currently serves as Leader of the Opposition and as the chairman of the Likud – National Liberal Movement."
Goverment Israel,"A government is the system or group of people governing an organized community, generally a state.
In the case of its broad associative definition, government normally consists of legislature, executive, and judiciary."
Bruce Bennett,"Bruce Bennett (born Harold Herman Brix, also credited Herman Brix; May 19, 1906 – February 24, 2007), was an American film and television actor who prior to his screen career was a highly successful college athlete in football and in both intercollegiate and international track-and-field competitions. In 1928 he won the silver medal for the shot put at the Olympic Games held in Amsterdam."
State Media China,"The mass media in China consists primarily of television, newspapers, radio, and magazines. Since 2000, the Internet has also emerged as an important form of communication by media, and is placed under the supervision of the Chinese government."
Chris Murphy,"Christopher Scott Murphy (born August 3, 1973) is an American lawyer, author, and politician serving as the junior United States senator from Connecticut since 2013. A member of the Democratic Party, he previously served in the United States House of Representatives, representing Connecticut's 5th congressional district from 2007 to 2013."
Adam Schiff,"Adam Bennett Schiff (born June 22, 1960) is an American lawyer, author, and politician who has served as a U.S. representative since 2001. A member of the Democratic Party, he has represented California's 28th congressional district since 2013."
Joseph Dunford,"Joseph Francis Dunford Jr. KBE AO MSC OMRI (born December 23, 1955) is a retired United States Marine Corps four-star general, who served as the 19th chairman of the Joint Chiefs of Staff from October 1, 2015 until September 30, 2019."
Stephen Colbert ,"Stephen Tyrone Colbert ( kohl-BAIR; born May 13, 1964) is an American comedian, writer, producer, political commentator, actor, and television host. He is best known for hosting the satirical Comedy Central program The Colbert Report from 2005 to 2014 and the CBS talk program The Late Show with Stephen Colbert beginning in September 2015.Colbert originally studied to be a dramatic actor, but became interested in improvisational theater while attending Northwestern University, where he met Second City director Del Close."
Barack Obama,"Barack Hussein Obama II ( (listen) bə-RAHK hoo-SAYN oh-BAH-mə; born August 4, 1961) is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American  president of the United States."
Theresa May,"Theresa Mary, Lady May (; née Brasier; born 1 October 1956) is a British politician who served as Prime Minister of the United Kingdom and Leader of the Conservative Party from 2016 to 2019. She served as Home Secretary from 2010 to 2016 in the Cameron government and has been the Member of Parliament (MP) for Maidenhead in Berkshire since 1997."
Robert Menendez,"Robert Menendez (; born January 1, 1954) is an American lawyer and politician serving as the senior United States senator from New Jersey, a seat he has held since 2006. A member of the Democratic Party, he was first appointed to the U.S. Senate by Governor Jon Corzine, and chaired the United States Senate Committee on Foreign Relations from 2013 to 2015, and again since 2021."
Cory Gardner,"Cory Scott Gardner (born August 22, 1974) is an American attorney, lobbyist, and politician who served as a United States senator from Colorado from 2015 to 2021. A Republican, he was the U.S. representative for Colorado's 4th congressional district from 2011 to 2015 and a member of the Colorado House of Representatives from 2005 to 2011."
Kim Kye-gwan,"Kim Kye-gwan (Korean pronunciation: [kim.ɡe.ɡwan]; born July 6, 1943) is a North Korean diplomat. His official position was First Vice Minister of the Ministry of Foreign Affairs, to which he was promoted (from just Vice Minister) immediately before the Korean Workers' Party Conference of 28 September 2010."
Rand Paul,"Randal Howard Paul (born January 7, 1963) is an American physician and politician serving as the junior U.S. senator from Kentucky since 2011. He is a son of former three-time presidential candidate and 12-term U.S. representative of Texas, Ron Paul."
Marc Short,"Marc Short (born March 3, 1970) is an American political advisor who served as chief of staff to Vice President Mike Pence. Prior to holding this role, Short was the director of legislative affairs at the White House from 2017 to 2018."
George W. Bush,"George Walker Bush (born July 6, 1946) is an American politician  who served as the 43rd president of the United States from 2001 to 2009. A member of the Bush family and Republican Party, he previously served as the 46th governor of Texas from 1995 to 2000."
Sergei A Markov,"Sergei Alexandrovich Markov (born 1958, Russian: Серге́й Александрович Марков) is a Russian political scientist, journalist and former close advisor to Russian President Vladimir Putin. He is a Doctor of Political Science, assistant professor of Public Policy department of Faculty of Philosophy at Moscow State University, professor of the Faculty of Political Science at the Moscow State Institute of International Relations (MGIMO-University), director of the Institute of Political Studies."
Gleb Pavlovsky,"Gleb Olegovich Pavlovsky (Russian: Глеб Оле́гович Павло́вский; born 5 March 1951) is a  Russian political scientist (he describes himself as a ""political technologist""). During the Soviet era, he was prosecuted as a dissident.Pavlovsky is president of the Foundation for Effective Politics (FEP)."
Chuck Schumer,"Charles Ellis Schumer ( SHOO-mər; born November 23, 1950) is an American politician serving as Senate Majority Leader since January 20, 2021. A member of the Democratic Party, Schumer is the senior United States senator from New York, a seat he has held since 1999."
Bob Corker,"Robert Phillips Corker Jr. (born August 24, 1952) is an American businessman and politician who served as a United States Senator from Tennessee from 2007 to 2019."
John Kasich,"John Richard Kasich Jr. ( KAY-sik; born May 13, 1952) is an American politician, author, and television news host who served in the U.S. House of Representatives from 1983 to 2001 and as the 69th governor of Ohio from 2011 to 2019."
